,locality,label
0,20.215363,1.0
1,2.1534295,1.0
2,11.901009,1.0
3,0.0,0.0
4,1.5068619,1.0
5,0.0,0.0
6,14.332631,1.0
7,3.3642375,0.0
8,0.5250285,1.0
9,1.0818952,0.0
10,0.71441233,0.0
11,0.3163467,0.0
12,13.851328,0.0
13,15.133126,0.0
14,4.686352,0.0
15,0.0,0.0
16,0.0,0.0
17,2.6202147,1.0
18,14.427367,0.0
19,14.38097,0.0
20,12.636098,0.0
21,18.617039,0.0
22,0.83557934,0.0
23,18.30827,0.0
24,4.2402697,0.0
25,2.9789531,1.0
26,5.975785,1.0
27,0.0,0.0
28,37.809845,0.0
29,5.915351,1.0
30,0.0,0.0
31,39.803444,0.0
32,29.146866,0.0
33,1.0221422,1.0
34,5.355753,1.0
35,0.0,0.0
36,15.114623,0.0
37,1.9120731,0.0
38,17.944344,0.0
39,10.413682,0.0
40,4.757308,1.0
41,0.0,0.0
42,23.43515,0.0
43,7.918118,0.0
44,3.3347313,1.0
45,8.673305,0.0
46,23.685135,0.0
47,0.0,1.0
48,19.830194,0.0
49,15.202452,0.0
50,0.0,0.0
51,38.87732,0.0
52,7.765376,1.0
53,11.322931,0.0
54,0.0,0.0
55,21.090385,0.0
56,1.6246817,1.0
57,8.858409,0.0
58,0.0,0.0
59,0.0,0.0
60,4.0004478,0.0
61,33.16814,0.0
62,22.799414,0.0
63,2.6512282,0.0
64,0.3408172,0.0
65,0.6013535,0.0
66,1.2373201,1.0
67,20.996435,0.0
68,22.228628,0.0
69,13.292131,0.0
70,9.130679,0.0
71,0.123070404,0.0
72,13.807493,0.0
73,16.965086,1.0
74,1.0552927,0.0
75,0.0,0.0
76,2.6512282,0.0
77,11.170855,0.0
78,4.338095,1.0
79,0.77820927,1.0
80,0.0,0.0
81,13.550612,1.0
82,2.268662,1.0
83,20.161747,0.0
84,0.0,0.0
85,31.207315,0.0
86,10.140455,1.0
87,0.0,0.0
88,3.9466765,0.0
89,13.630357,0.0
90,6.620342,0.0
91,1.467154,1.0
92,14.636577,0.0
93,24.722605,0.0
94,0.0,0.0
95,0.5553816,0.0
96,0.0,0.0
97,25.678339,0.0
98,1.4319158,0.0
99,0.7791322,0.0
100,0.0,0.0
101,2.285237,1.0
102,8.825839,1.0
103,0.0,0.0
104,0.0,0.0
105,29.353436,0.0
106,3.6530855,1.0
107,3.961233,0.0
108,6.654394,1.0
109,0.0,0.0
110,35.210896,0.0
111,7.9752235,0.0
112,11.300783,1.0
113,0.0,0.0
114,23.010075,0.0
115,0.0,0.0
116,3.959827,0.0
117,1.129964,0.0
118,2.4747694,0.0
119,7.154637,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,3.9933972,0.0
124,0.64729834,0.0
125,6.5690203,0.0
126,0.9512955,0.0
127,0.0,0.0
128,18.289778,0.0
129,26.853743,0.0
130,1.12413,0.0
131,2.2973819,1.0
132,3.4063783,0.0
133,4.6360598,0.0
134,28.133434,0.0
135,2.4324982,1.0
136,0.0,0.0
137,22.437536,0.0
138,0.3789703,1.0
139,5.4089174,1.0
140,19.477018,0.0
141,13.601725,0.0
142,5.8628044,0.0
143,0.80903625,0.0
144,2.693888,0.0
145,4.6534243,0.0
146,0.0,0.0
147,15.750001,1.0
148,5.9209747,0.0
149,9.919272,0.0
150,5.1976438,0.0
151,8.259564,0.0
152,26.859129,0.0
153,22.951696,0.0
154,0.0,0.0
155,16.14496,0.0
156,16.225473,0.0
157,2.7004154,0.0
158,9.651517,1.0
159,0.05237576,0.0
160,2.601337,0.0
161,10.477384,1.0
162,4.2237725,1.0
163,0.0,0.0
164,20.720354,0.0
165,0.0,0.0
166,0.0,0.0
167,0.0,0.0
168,0.0,0.0
169,0.5003932,1.0
170,0.71441233,0.0
171,10.859118,0.0
172,17.87216,0.0
173,0.0,0.0
174,17.141962,0.0
175,20.723633,0.0
176,8.62112,0.0
177,3.6121964,0.0
178,0.0,0.0
179,0.0,0.0
180,4.9181027,0.0
181,9.438055,0.0
182,0.0,0.0
183,18.42866,0.0
184,0.0,0.0
185,13.76873,1.0
186,7.298239,0.0
187,16.7045,0.0
188,0.0,0.0
189,19.337902,0.0
190,7.5441637,1.0
191,15.656139,0.0
192,29.668024,0.0
193,1.5938151,0.0
194,1.7982019,0.0
195,1.4205163,0.0
196,15.1678295,1.0
197,1.2441921,1.0
198,39.077576,0.0
199,17.004827,0.0
200,7.0576277,1.0
201,21.656822,0.0
202,12.927792,0.0
203,27.333427,1.0
204,20.88681,0.0
205,0.2898597,0.0
206,0.0,0.0
207,4.967559,1.0
208,0.0,0.0
209,13.461425,1.0
210,6.4710054,0.0
211,5.118395,0.0
212,10.179393,1.0
213,8.109364,0.0
214,0.0,0.0
215,0.0,0.0
216,0.0,0.0
217,7.965612,0.0
218,12.11985,0.0
219,5.8890862,1.0
220,0.0,0.0
221,0.0,0.0
222,6.235732,1.0
223,1.1055413,0.0
224,0.0,0.0
225,5.3407636,1.0
226,0.0,0.0
227,0.64122087,0.0
228,3.0219908,1.0
229,20.009075,0.0
230,0.0,0.0
