beat,timestamp_m,locLat,locLon,accX,accY,accZ,gyroX,gyroY,gyroZ,uncMagX,uncMagY,unMagZ,verticalDistance,horizontalDistance
1607693957,1607693957499.5,50.5284358,14.071233300000001,0.9504981,1.2042834999999998,-9.488221000000001,-4.888326e-05,-0.0010506874000000002,0.00040316954,207.40001,10.200001,-33.0,97.0,0.0
1607693958,1607693958502.0,50.5284358,14.071233300000001,0.760159,1.1456255,-9.703699,-0.0024923459,-0.0010506874000000002,0.0010140352,207.0,10.200001,-33.9,97.0,0.0
1607693959,1607693959496.0,50.5284358,14.071233300000001,0.94570965,1.1707646999999999,-9.485827,-0.0012706146,-0.0010506874000000002,0.00040316954,207.8,9.9,-32.4,97.0,11.0
1607693960,1607693960495.0,50.5284358,14.071233300000001,0.91338795,1.1767502,-9.52174,-4.888326e-05,-0.0010506874000000002,0.00040316954,207.5,10.200001,-33.1,97.0,11.0
1607693961,1607693961502.0,50.5284358,14.071233300000001,0.8511386999999999,1.1468226000000001,-9.617508,-0.0018814802,-0.00043982174000000004,0.00040316954,207.0,10.3,-33.5,98.0,0.0
1607693962,1607693962502.0,50.5284358,14.071233300000001,0.7589619000000001,1.1001357,-9.654618,-0.0018814802,-0.00043982174000000004,0.0010140352,207.0,9.9,-33.6,98.0,0.0
1607693963,1607693963502.0,50.5284358,14.071233300000001,0.92416185,1.1982979999999999,-9.485827,-0.0006597489,-0.0010506874000000002,0.0010140352,207.5,9.8,-32.699996999999996,98.0,0.0
1607693964,1607693964502.0,50.5284358,14.071233300000001,0.7266402,1.2234371000000002,-9.634267999999999,-0.0012706146,-0.0022724178,0.0010140352,207.3,9.780000999999999,-32.8,98.0,0.0
1607693965,1607693965496.0,50.5284358,14.071233300000001,0.93134445,1.1707646999999999,-9.583989,-0.0018814802,-0.00043982174000000004,0.0010140352,206.7,7.8,-32.8,83.0,0.0
1607693966,1607693966496.0,50.5284358,14.071233300000001,1.0307038,1.2066777,-9.615114,-0.0012706146,-0.00043982174000000004,0.00040316954,207.1,6.4,-32.3,77.0,0.0
1607693967,1607693967492.0,50.5284358,14.071233300000001,0.7374141,1.1683705,-9.688137,-0.0018814802,-0.0010506874000000002,0.00040316954,206.8,2.3000002,-32.1,59.0,0.0
1607693968,1607693968497.0,50.5284358,14.071233300000001,0.91697925,0.5363011999999999,-9.65821,0.001172848,0.0020036389999999998,-0.009370674,205.7,1.7000003000000001,-32.9,44.0,0.0
1607693969,1607693969502.0,50.5284358,14.071233300000001,0.7278373,-0.11133038,-9.740809,0.001172848,0.005668831,0.008344417,205.7,1.8000002,-33.199996999999996,44.0,0.0
1607693970,1607693970496.0,50.5284416,14.0712293,0.80924016,0.31483752,-9.682152,-0.0018814802,-0.008991935,-0.0038728868,205.40001,0.0,-31.8,38.0,0.0
1607693971,1607693971500.0,50.5284575,14.071226999999999,0.712275,0.7062895,-9.727641,0.012168422,-0.010824531,-0.09611354,205.7,-2.2000002999999997,-29.9,14.0,0.0
