,beat,end_beat,duration,se_distance
126,1606481230,1606481288,58,51.44729821264513
127,1606481308,1606481356,48,53.50141076799293
128,1606481411,1606481483,72,120.5015365326469
129,1606481774,1606481830,56,53.07256557119565
130,1606481867,1606481917,50,55.930997590284015
131,1606481973,1606482027,54,53.68463586979069
132,1606482054,1606482101,47,53.43866029690676
133,1606952690,1606952740,50,56.06331628523404
134,1606952769,1606952827,58,55.563497911864395
135,1606952853,1606952906,53,54.30890151327021
136,1606952937,1606952991,54,51.99241343690994
137,1606953008,1606953064,56,55.17216908879763
138,1606953092,1606953146,54,53.47206095221723
139,1606953167,1606953222,55,54.585358066909805
140,1606953469,1606953536,67,51.851294250163946
141,1606953555,1606953615,60,55.62865936527257
142,1606953851,1606953948,97,53.47931207513096
143,1606953984,1606954040,56,52.15259720754823
144,1606954062,1606954106,44,47.45843733452319
145,1606954829,1606954863,34,10.175719262396731
146,1606954880,1606954929,49,60.045713310122494
147,1606955063,1606955110,47,58.28989852288909
148,1606955129,1606955180,51,56.02160925224751
149,1606955197,1606955240,43,56.63081762241187
150,1606956455,1606956480,25,11.017642839148738
151,1606956486,1606956538,52,48.7524391444448
152,1606956565,1606956618,53,56.60518269925817
153,1606956636,1606956692,56,54.98515601125581
154,1606956716,1606956764,48,53.289342926026904
155,1606956784,1606956837,53,48.18348623861114
156,1606956852,1606956907,55,51.1067294074162
157,1606956938,1606957001,63,54.312076054094376
158,1606957025,1606957078,53,52.62136433690612
159,1606957322,1606957372,50,45.15205166155935
160,1606957397,1606957459,62,52.291648703622705
161,1606957497,1606957621,124,95.34063821335347
162,1606957766,1606957795,29,10.172255538680481
163,1606957816,1606957911,95,86.96943586854296
164,1606957951,1606958045,94,93.79897695538969
165,1606958086,1606958184,98,92.21571419676636
166,1606958224,1606958312,88,97.0712042084659
167,1606958545,1606958634,89,94.8196906977317
168,1606958686,1606958773,87,92.5763508931263
169,1606958813,1606958891,78,88.2267055641421
170,1606958930,1606959014,84,88.28710264192611
171,1606959053,1606959138,85,94.50399132262815
172,1606959181,1606959276,95,92.84058131505586
173,1606959361,1606959437,76,131.15173467963305
